CLAVE_MUNICIPIO,MUNICIPIO
1,ABASOLO
2,ACUÑA
3,ALLENDE
4,ARTEAGA
5,CANDELA
6,CASTAÑOS
7,CUATRO CIÉNEGAS
8,ESCOBEDO
9,FRANCISCO I. MADERO
10,FRONTERA
11,GENERAL CEPEDA
12,GUERRERO
13,HIDALGO
14,JIMÉNEZ
15,JUÁREZ
16,LAMADRID
17,MATAMOROS
18,MONCLOVA
19,MORELOS
20,MÚZQUIZ
21,NADADORES
22,NAVA
23,OCAMPO
24,PARRAS
25,PIEDRAS NEGRAS
26,PROGRESO
27,RAMOS ARIZPE
28,SABINAS
29,SACRAMENTO
30,SALTILLO
31,SAN BUENAVENTURA
32,SAN JUAN DE SABINAS
33,SAN PEDRO
34,SIERRA MOJADA
35,TORREÓN
36,VIESCA
37,VILLA UNIÓN
38,ZARAGOZA
999,NO ESPECIFICADO
